nome,endereco,telefone,website,categoria,nota,reviews,latitude,longitude,place_id,fonte,data_coleta,horario_funcionamento,nivel_preco,score,criterios_atingidos,qualificado,nivel_qualificacao,data_qualificacao,observacoes_qualificacao
Sonda Supermercados - Tatuapé,"R. Apucarana, 1000 - Tatuapé, São Paulo - SP, 03311-000",(11) 2132-0900,https://www.sondadelivery.com.br/,"['supermarket', 'bakery', 'grocery_or_supermarket', 'restaurant', 'food', 'storage', 'point_of_interest', 'store', 'establishment']",4.4,14474,-23.5466855,-46.5636062,ChIJK_ap7I1ezpQRBBB3NUEn4Zc,Google Places,03/09/2025 21:36:29,"['segunda-feira: Atendimento 24 horas', 'terça-feira: Atendimento 24 horas', 'quarta-feira: Atendimento 24 horas', 'quinta-feira: Atendimento 24 horas', 'sexta-feira: Atendimento 24 horas', 'sábado: Atendimento 24 horas', 'domingo: 00:00\u2009–\u200922:00']",0,4,"['Telefone válido', 'Site ativo', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 21:38:52,"Lead qualificado. Critérios atingidos: Telefone válido, Site ativo, Endereço válido, Nome válido"
VIP Supermercados,"Rua Monte Serrat, 1520 - Tatuapé, São Paulo - SP, 03312-001",(11) 2672-8000,http://www.vipsupermercados.com.br/,"['supermarket', 'liquor_store', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",4.5,2016,-23.5512215,-46.5599187,ChIJLQCS_oVezpQRKn7tRgQ-Cq8,Google Places,03/09/2025 21:36:31,"['segunda-feira: 07:00\u2009–\u200922:00', 'terça-feira: 07:00\u2009–\u200922:00', 'quarta-feira: 07:00\u2009–\u200922:00', 'quinta-feira: 07:00\u2009–\u200922:00', 'sexta-feira: 07:00\u2009–\u200922:00', 'sábado: 07:00\u2009–\u200922:00', 'domingo: 08:00\u2009–\u200921:00']",0,4,"['Telefone válido', 'Site ativo', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 21:38:52,"Lead qualificado. Critérios atingidos: Telefone válido, Site ativo, Endereço válido, Nome válido"
Mambo,"R. Serra de Botucatu, 1703 - Tatuapé, São Paulo - SP, 03317-001",(11) 2227-5900,http://www.mambo.com.br/,"['supermarket', 'liquor_store', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",4.4,7407,-23.5410749,-46.5548998,ChIJTbHonYpezpQRzG6VRWzkYnQ,Google Places,03/09/2025 21:36:33,"['segunda-feira: 07:00\u2009–\u200922:00', 'terça-feira: 07:00\u2009–\u200922:00', 'quarta-feira: 07:00\u2009–\u200922:00', 'quinta-feira: 07:00\u2009–\u200922:00', 'sexta-feira: 07:00\u2009–\u200922:00', 'sábado: 07:00\u2009–\u200922:00', 'domingo: 08:00\u2009–\u200921:30']",0,3,"['Telefone válido', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 21:38:52,"Lead qualificado. Critérios atingidos: Telefone válido, Endereço válido, Nome válido"
Sonda Supermercados - Vila Carrão,"Av. Conselheiro Carrão, 2255 - Vila Carrão, São Paulo - SP, 03403-002",(11) 2588-4350,http://www.sondadelivery.com.br/,"['supermarket', 'atm', 'bakery', 'grocery_or_supermarket', 'finance', 'restaurant', 'food', 'storage', 'point_of_interest', 'store', 'establishment']",4.3,7655,-23.5473862,-46.5394191,ChIJH61m6XNezpQRkwKrkBZTijs,Google Places,03/09/2025 21:36:35,"['segunda-feira: 07:00\u2009–\u200922:00', 'terça-feira: 07:00\u2009–\u200922:00', 'quarta-feira: 07:00\u2009–\u200922:00', 'quinta-feira: 07:00\u2009–\u200922:00', 'sexta-feira: 07:00\u2009–\u200922:00', 'sábado: 07:00\u2009–\u200922:00', 'domingo: 07:00\u2009–\u200922:00']",0,3,"['Telefone válido', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 21:38:53,"Lead qualificado. Critérios atingidos: Telefone válido, Endereço válido, Nome válido"
Pão de Açúcar,"Av. Brigadeiro Luís Antônio, 2013 - Bela Vista, São Paulo - SP, 01317-002",0800 779 6761,https://www.paodeacucar.com/,"['supermarket', 'convenience_store', 'bakery', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",3.8,14460,-23.5655985,-46.6472324,ChIJ_RTiFblZzpQRiEvFnOtXJ3M,Google Places,03/09/2025 21:36:37,"['segunda-feira: 06:00\u2009–\u200923:00', 'terça-feira: 06:00\u2009–\u200923:00', 'quarta-feira: 06:00\u2009–\u200923:00', 'quinta-feira: 06:00\u2009–\u200923:00', 'sexta-feira: 06:00\u2009–\u200923:00', 'sábado: 06:00\u2009–\u200923:00', 'domingo: 06:00\u2009–\u200923:00']",0,4,"['Telefone válido', 'Site ativo', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 21:38:53,"Lead qualificado. Critérios atingidos: Telefone válido, Site ativo, Endereço válido, Nome válido"
Supermercados Yamauchi,"R. Azevedo Soares, 2726 - Tatuapé, São Paulo - SP, 03408-060",(11) 2095-2888,http://www.yamauchi.com.br/,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",4.3,3460,-23.5470474,-46.5508422,ChIJ1fWSW2NezpQRorgCkvcT-TY,Google Places,03/09/2025 21:36:39,"['segunda-feira: 07:00\u2009–\u200921:00', 'terça-feira: 07:00\u2009–\u200921:00', 'quarta-feira: 07:00\u2009–\u200921:00', 'quinta-feira: 07:00\u2009–\u200921:00', 'sexta-feira: 07:00\u2009–\u200921:00', 'sábado: 07:00\u2009–\u200921:00', 'domingo: 07:00\u2009–\u200915:00']",0,3,"['Telefone válido', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 21:38:54,"Lead qualificado. Critérios atingidos: Telefone válido, Endereço válido, Nome válido"
Kanguru Supermercado,"R. Antônio de Barros, 285 - Maranhão, São Paulo - SP, 03089-000",(11) 2227-3480,http://www.kangurudelivery.com.br/,"['supermarket', 'liquor_store', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",4.2,6329,-23.5327952,-46.5595563,ChIJqSwiEX5ezpQRQfdzi9qRK2w,Google Places,03/09/2025 21:36:41,"['segunda-feira: 08:00\u2009–\u200920:00', 'terça-feira: 08:00\u2009–\u200920:00', 'quarta-feira: 08:00\u2009–\u200920:00', 'quinta-feira: 08:00\u2009–\u200920:00', 'sexta-feira: 08:00\u2009–\u200920:00', 'sábado: 08:00\u2009–\u200920:00', 'domingo: 09:00\u2009–\u200914:00']",0,3,"['Telefone válido', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 21:38:54,"Lead qualificado. Critérios atingidos: Telefone válido, Endereço válido, Nome válido"
Chama Supermercados - Tatuapé,"R. Emília Marengo, 140 - Tatuapé, São Paulo - SP, 03336-010",(11) 2671-2951,http://www.grupochama.com.br/,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",4.4,3237,-23.5531665,-46.5659016,ChIJgbR_dpBezpQRp0f_w9ffQIs,Google Places,03/09/2025 21:36:43,"['segunda-feira: 07:00\u2009–\u200921:00', 'terça-feira: 07:00\u2009–\u200921:00', 'quarta-feira: 07:00\u2009–\u200921:00', 'quinta-feira: 07:00\u2009–\u200921:00', 'sexta-feira: 07:00\u2009–\u200921:00', 'sábado: 07:00\u2009–\u200921:00', 'domingo: 07:00\u2009–\u200916:00']",0,3,"['Telefone válido', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 21:38:54,"Lead qualificado. Critérios atingidos: Telefone válido, Endereço válido, Nome válido"
Carrefour,"R. Pamplona, 1704 - Jardim Paulista, São Paulo - SP, 01405-002",(11) 3004-2222,https://www.carrefour.com.br/localizador-de-lojas,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",4.4,7475,-23.570324,-46.6612904,ChIJKYDlUttZzpQRFI4hRaDPhS4,Google Places,03/09/2025 21:36:45,"['segunda-feira: Atendimento 24 horas', 'terça-feira: Atendimento 24 horas', 'quarta-feira: Atendimento 24 horas', 'quinta-feira: Atendimento 24 horas', 'sexta-feira: Atendimento 24 horas', 'sábado: Atendimento 24 horas', 'domingo: Atendimento 24 horas']",0,4,"['Telefone válido', 'Site ativo', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 21:38:55,"Lead qualificado. Critérios atingidos: Telefone válido, Site ativo, Endereço válido, Nome válido"
Master Supermercados,"Rua Frei Caneca, 569, Loja 01, Pavimento Térreo Inferior - Consolação, São Paulo - SP, 01307-001",(11) 3472-2200,https://grupomastersonda.com.br/master-supermercados/,"['supermarket', 'convenience_store', 'bakery', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",4.4,4360,-23.5542136,-46.6525691,ChIJJyeZPDVYzpQRk7jskJSqNu0,Google Places,03/09/2025 21:36:47,"['segunda-feira: 07:30\u2009–\u200922:00', 'terça-feira: 07:30\u2009–\u200922:00', 'quarta-feira: 07:30\u2009–\u200922:00', 'quinta-feira: 07:30\u2009–\u200922:00', 'sexta-feira: 07:30\u2009–\u200922:00', 'sábado: 07:30\u2009–\u200922:00', 'domingo: 07:30\u2009–\u200922:00']",0,4,"['Telefone válido', 'Site ativo', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 21:38:58,"Lead qualificado. Critérios atingidos: Telefone válido, Site ativo, Endereço válido, Nome válido"
