nome,endereco,telefone,website,categoria,nota,reviews,latitude,longitude,place_id,fonte,data_coleta,horario_funcionamento,nivel_preco,score,criterios_atingidos,qualificado,nivel_qualificacao,data_qualificacao,observacoes_qualificacao
Sonda Supermercados - Tatuapé,"R. Apucarana, 1000 - Tatuapé, São Paulo - SP, 03311-000",(11) 2132-0900,https://www.sondadelivery.com.br/,"['supermarket', 'bakery', 'grocery_or_supermarket', 'storage', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",4.4,14474,-23.5466855,-46.5636062,ChIJK_ap7I1ezpQRBBB3NUEn4Zc,Google Places,03/09/2025 20:24:56,"['segunda-feira: Atendimento 24 horas', 'terça-feira: Atendimento 24 horas', 'quarta-feira: Atendimento 24 horas', 'quinta-feira: Atendimento 24 horas', 'sexta-feira: Atendimento 24 horas', 'sábado: Atendimento 24 horas', 'domingo: 00:00\u2009–\u200922:00']",0,4,"['Telefone válido', 'Site ativo', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 20:27:28,"Lead qualificado. Critérios atingidos: Telefone válido, Site ativo, Endereço válido, Nome válido"
VIP Supermercados,"Rua Monte Serrat, 1520 - Tatuapé, São Paulo - SP, 03312-001",(11) 2672-8000,http://www.vipsupermercados.com.br/,"['supermarket', 'liquor_store', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",4.5,2016,-23.5512215,-46.5599187,ChIJLQCS_oVezpQRKn7tRgQ-Cq8,Google Places,03/09/2025 20:24:58,"['segunda-feira: 07:00\u2009–\u200922:00', 'terça-feira: 07:00\u2009–\u200922:00', 'quarta-feira: 07:00\u2009–\u200922:00', 'quinta-feira: 07:00\u2009–\u200922:00', 'sexta-feira: 07:00\u2009–\u200922:00', 'sábado: 07:00\u2009–\u200922:00', 'domingo: 08:00\u2009–\u200921:00']",0,4,"['Telefone válido', 'Site ativo', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 20:27:28,"Lead qualificado. Critérios atingidos: Telefone válido, Site ativo, Endereço válido, Nome válido"
Mambo,"R. Serra de Botucatu, 1703 - Tatuapé, São Paulo - SP, 03317-001",(11) 2227-5900,http://www.mambo.com.br/,"['supermarket', 'liquor_store', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",4.4,7407,-23.5410749,-46.5548998,ChIJTbHonYpezpQRzG6VRWzkYnQ,Google Places,03/09/2025 20:25:00,"['segunda-feira: 07:00\u2009–\u200922:00', 'terça-feira: 07:00\u2009–\u200922:00', 'quarta-feira: 07:00\u2009–\u200922:00', 'quinta-feira: 07:00\u2009–\u200922:00', 'sexta-feira: 07:00\u2009–\u200922:00', 'sábado: 07:00\u2009–\u200922:00', 'domingo: 08:00\u2009–\u200921:30']",0,3,"['Telefone válido', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 20:27:28,"Lead qualificado. Critérios atingidos: Telefone válido, Endereço válido, Nome válido"
Sonda Supermercados - Vila Carrão,"Av. Conselheiro Carrão, 2255 - Vila Carrão, São Paulo - SP, 03403-002",(11) 2588-4350,http://www.sondadelivery.com.br/,"['supermarket', 'atm', 'bakery', 'grocery_or_supermarket', 'finance', 'storage', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",4.3,7655,-23.5473862,-46.5394191,ChIJH61m6XNezpQRkwKrkBZTijs,Google Places,03/09/2025 20:25:03,"['segunda-feira: 07:00\u2009–\u200922:00', 'terça-feira: 07:00\u2009–\u200922:00', 'quarta-feira: 07:00\u2009–\u200922:00', 'quinta-feira: 07:00\u2009–\u200922:00', 'sexta-feira: 07:00\u2009–\u200922:00', 'sábado: 07:00\u2009–\u200922:00', 'domingo: 07:00\u2009–\u200922:00']",0,3,"['Telefone válido', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 20:27:29,"Lead qualificado. Critérios atingidos: Telefone válido, Endereço válido, Nome válido"
Supermercados Yamauchi,"R. Azevedo Soares, 2726 - Tatuapé, São Paulo - SP, 03408-060",(11) 2095-2888,http://www.yamauchi.com.br/,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",4.3,3460,-23.5470474,-46.5508422,ChIJ1fWSW2NezpQRorgCkvcT-TY,Google Places,03/09/2025 20:25:05,"['segunda-feira: 07:00\u2009–\u200921:00', 'terça-feira: 07:00\u2009–\u200921:00', 'quarta-feira: 07:00\u2009–\u200921:00', 'quinta-feira: 07:00\u2009–\u200921:00', 'sexta-feira: 07:00\u2009–\u200921:00', 'sábado: 07:00\u2009–\u200921:00', 'domingo: 07:00\u2009–\u200915:00']",0,3,"['Telefone válido', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 20:27:29,"Lead qualificado. Critérios atingidos: Telefone válido, Endereço válido, Nome válido"
Dia Brasil,"R. Cantagalo, 1508 - Vila Gomes Cardim, São Paulo - SP, 03319-001",0800 723 1470,https://www.dia.com.br/,"['supermarket', 'bakery', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",3.7,710,-23.544388,-46.5594454,ChIJkS1jiItezpQRP129v-hiOVo,Google Places,03/09/2025 20:25:07,"['segunda-feira: 07:00\u2009–\u200921:00', 'terça-feira: 07:00\u2009–\u200921:00', 'quarta-feira: 07:00\u2009–\u200921:00', 'quinta-feira: 07:00\u2009–\u200921:00', 'sexta-feira: 07:00\u2009–\u200921:00', 'sábado: 07:00\u2009–\u200921:00', 'domingo: 07:00\u2009–\u200920:00']",0,4,"['Telefone válido', 'Site ativo', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 20:27:30,"Lead qualificado. Critérios atingidos: Telefone válido, Site ativo, Endereço válido, Nome válido"
Chama Supermercados - Tatuapé,"R. Emília Marengo, 140 - Tatuapé, São Paulo - SP, 03336-010",(11) 2671-2951,http://www.grupochama.com.br/,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",4.4,3237,-23.5531665,-46.5659016,ChIJgbR_dpBezpQRp0f_w9ffQIs,Google Places,03/09/2025 20:25:09,"['segunda-feira: 07:00\u2009–\u200921:00', 'terça-feira: 07:00\u2009–\u200921:00', 'quarta-feira: 07:00\u2009–\u200921:00', 'quinta-feira: 07:00\u2009–\u200921:00', 'sexta-feira: 07:00\u2009–\u200921:00', 'sábado: 07:00\u2009–\u200921:00', 'domingo: 07:00\u2009–\u200916:00']",0,3,"['Telefone válido', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 20:27:30,"Lead qualificado. Critérios atingidos: Telefone válido, Endereço válido, Nome válido"
Saúde Supermercados - Loja 6,"Av. Penha de França, 774 - Vila Sao Geraldo, São Paulo - SP, 03606-000",(11) 2642-9711,,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",4.0,1278,-23.5199766,-46.5463008,ChIJw-CvilJezpQRijyPYn75BfM,Google Places,03/09/2025 20:25:12,"['segunda-feira: 07:00\u2009–\u200921:00', 'terça-feira: 07:00\u2009–\u200921:00', 'quarta-feira: 07:00\u2009–\u200921:00', 'quinta-feira: 07:00\u2009–\u200921:00', 'sexta-feira: 07:00\u2009–\u200921:00', 'sábado: 07:00\u2009–\u200921:00', 'domingo: 07:00\u2009–\u200918:00']",0,3,"['Telefone válido', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 20:27:30,"Lead qualificado. Critérios atingidos: Telefone válido, Endereço válido, Nome válido"
Master Supermercados,"Rua Frei Caneca, 569, Loja 01, Pavimento Térreo Inferior - Consolação, São Paulo - SP, 01307-001",(11) 3472-2200,https://grupomastersonda.com.br/master-supermercados/,"['bakery', 'supermarket', 'convenience_store', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",4.4,4360,-23.5542136,-46.6525691,ChIJJyeZPDVYzpQRk7jskJSqNu0,Google Places,03/09/2025 20:25:14,"['segunda-feira: 07:30\u2009–\u200922:00', 'terça-feira: 07:30\u2009–\u200922:00', 'quarta-feira: 07:30\u2009–\u200922:00', 'quinta-feira: 07:30\u2009–\u200922:00', 'sexta-feira: 07:30\u2009–\u200922:00', 'sábado: 07:30\u2009–\u200922:00', 'domingo: 07:30\u2009–\u200922:00']",0,4,"['Telefone válido', 'Site ativo', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 20:27:33,"Lead qualificado. Critérios atingidos: Telefone válido, Site ativo, Endereço válido, Nome válido"
Pão de Açúcar,"Av. Brigadeiro Luís Antônio, 2013 - Bela Vista, São Paulo - SP, 01317-002",0800 779 6761,https://www.paodeacucar.com/,"['supermarket', 'bakery', 'convenience_store', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",3.8,14460,-23.5655985,-46.6472324,ChIJ_RTiFblZzpQRiEvFnOtXJ3M,Google Places,03/09/2025 20:25:16,"['segunda-feira: 06:00\u2009–\u200923:00', 'terça-feira: 06:00\u2009–\u200923:00', 'quarta-feira: 06:00\u2009–\u200923:00', 'quinta-feira: 06:00\u2009–\u200923:00', 'sexta-feira: 06:00\u2009–\u200923:00', 'sábado: 06:00\u2009–\u200923:00', 'domingo: 06:00\u2009–\u200923:00']",0,4,"['Telefone válido', 'Site ativo', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 20:27:34,"Lead qualificado. Critérios atingidos: Telefone válido, Site ativo, Endereço válido, Nome válido"
